Resight ID,Ranking,@Image path,Name,Position,Location,Organisation,Bio,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity,Sophistication score,Sophistication rank badge,S Tech and data,S Pricing,S Talent development,Experience score,Experience rank badge,E Service,E Expertise,E Commerciality,E Communication,E EQ,E Strategy,E Network,E Leadership
IND00327,Arbitration,Photos/Indranil.png,Indranil Deshmukh,Partner & Head of Disputes,Mumbai,Cyril Amarchand Mangaldas,,5.8,,20,3,,1,8.2,0,8.4,8.4,Top 10,8.9,8.9,8.2,8.1,6.2,,6,5,7,10,Ranked 2nd,10,10,10,10,10,10,10,9.6
IND02569,Arbitration,Photos/Suvigya Awasthy.png,Suvigya Awasthy,Partner,Delhi,PSL Advocates & Solicitors,,5.8,,21,3.6,,0,7.5,7.8,8.9,7.1,,7.1,5.5,5.5,8.5,7.7,Ranked 3rd,7.3,8,8,7,,8,8,8,8,8,8,8,8
IND00929,Arbitration,Photos/SameerTapia.JPG,Sameer Tapia,Founder & Senior Partner,Mumbai,ALMT Legal,,5.7,,22,3.1,,0,5.3,7.4,9.4,8.7,Top 5,0,0,8.7,0,5.1,,4.7,6,5,-,,-,-,-,-,-,-,-,-
IND00540,Arbitration,Photos/smarika-Singh.png,Smarika Singh,Partner,Delhi,Shardul Amarchand Mangaldas & Co,,5.7,,23,3.4,,3.1,4.4,0,8.4,7.3,,5.7,6,5.8,9,7.1,,6.7,6,8,8.1,,10,10,8,10,8,10,10,10
IND00663,Arbitration,Photos/Priyanka-Shetty-copy-1-e1633778843896.jpg,Priyanka Shetty,Partner,Mumbai,AZB & Partners,,5.6,,24,2.6,,0,3.2,6.9,9,7.6,,7.6,9.7,0,9,7.7,Top 5,7.3,6,9,9.2,Top 5,10,9,9,10,10,10,9,10
IND00345,Arbitration,Lomesh-Kiran.png,Lomesh Nidumuri,"Partner (Head – Disputes, South India)",Bengaluru,Cyril Amarchand Mangaldas,,5.6,,25,2.6,,1,5.3,0,9.5,7.8,,4.9,7.4,9.5,8.5,7,,6,-,8,-,,-,-,-,-,-,-,-,-
IND01048,Arbitration,Photos/Sneha Jaisingh.jpg,Sneha Jaisingh,Partner,Mumbai,Bharucha & Partners,,5.5,,26,2.3,,0,3.2,5.1,8.6,7.8,,9.8,4.1,9.5,8.5,7.7,Top 5,6.7,9,8,10,Ranked 3rd,10,10,10,10,10,10,10,10
IND00739,Arbitration,Photos/Ketan-Gaur.png,Ketan Gaur,Partner,Delhi,Trilegal,,5.2,,27,2.6,,1,3.2,6.6,4.4,7.5,,7.6,7.9,0,9.8,5.9,,6.7,6,5,7.9,,10,8,10,10,8,8,10,10
IND07515,Arbitration,Photos/Ashim Sood.jpg,Ashim Sood,Principal,Delhi,Ashim Sood Law Offices,,5.2,,28,2.8,,1,6.6,0,9.2,7.7,,7.1,9.1,7.1,7.3,5.2,,6,6,4,-,,-,-,-,-,-,-,-,-
IND07574,Arbitration,Photos/Sooraj Sharma.png,Sooraj Sharma,,,Clavius Legal,,5.2,,29,1.7,,0,4.4,0,8.6,7.8,,6.1,8.6,5.5,8.7,6.8,,6.7,-,-,-,,-,-,-,-,-,-,-,-
